line_no	act	measure	matched	text
1046	3	88	1	Den Himmel gäb' ich drum und die Seligkeit, wenn ich Dich noch oft so küssen dürft! Aber ich darf nicht! Was zitterst?
1049	3	93	1	Der Nachttau fällt.
1053	3	93	1	Wer kalt ist, den friert nicht mehr! Dich wird beim Morgentau nicht frieren.
1056	3	95	1	Was sagst Du da?
1059	3	96	1	Nix.
1064	3	98	1	Wie der Mond rot aufgeht!
1067	3	100	1	Wie ein blutig Eisen!
1071	3	101	1	Was zitterst?
1073	3	102	1	Was willst?
1076	3	102	1	Ich nicht, Marie! Und kein Andrer auch nicht!
1080	3	106	1	Hilfe!
1084	3	106	1	Tot!
1094	3	107	1	Tanzt Alle; tanzt nur zu, springt, schwitzt und stinkt, es holt Euch doch noch einmal der Teufel!
1096	3	144	1	Es ritten drei Reiter wohl an den Rhein,
1097	3	147	1	Bei einer Frau Wirtin da kehrten sie ein.
1098	3	149	1	Mein Wein ist gut, mein Bier ist klar,
1099	3	151	1	Mein Töchterlein liegt auf der . . .
1100	3	152	1	Verdammt!
1102	3	153	1	Komm, Margret!
1104	3	158	1	Komm, setz Dich her, Margret!
1106	3	161	1	Margret, Du bist so heiss
1108	3	163	1	Wart nur, wirst auch kalt werden! Kannst nicht singen?
1112	3	168	1	In's Schwabenland, da mag ich nit,
1113	3	172	1	Und lange Kleider trag ich nit,
1114	3	178	1	Denn lange Kleider, spitze Schuh,
1115	3	180	1	Die kommen keiner Dienstmagd zu.
1119	3	180	1	Nein! keine Schuh, man kann auch blossfüssig in die Höll' geh'n! Ich möcht heut raufen, raufen ...
1122	3	185	1	Aber was hast Du an der Hand?
1125	3	186	1	Ich? Ich?
1128	3	188	1	Rot! Blut!
1131	3	190	1	Blut? Blut?
1136	3	191	1	Freilich ... Blut!
1139	3	193	1	Ich glaub', ich hab' mich geschnitten, da an der rechten Hand ...
1142	3	197	1	Wie kommt's denn zum Ellenbogen?
1145	3	200	1	Ich hab's daran abgewischt.
1148	3	202	1	Mit der rechten Hand am rechten Arm?
1151	3	204	1	Was wollt Ihr? Was geht's Euch an?
1154	3	206	1	Puh! Puh! Da stinkt's nach Menschenblut!
1157	3	206	1	Bin ich ein Mörder?
1160	3	209	1	Blut, Blut, Blut, Blut!
1163	3	210	1	Freilich, da stinkt's nach Menschenblut!
1166	3	211	1	Platz! oder es geht wer zum Teufel!
1175	3	222	1	Das Messer? Wo ist das Messer? Ich hab's dagelassen ... Näher, noch näher. Mir graut's! Da regt sich was. Still! Alles still und tot ... Mörder! Mörder! Ha! Da ruft's. Nein, ich selbst.
1177	3	238	1	Marie! Marie! Was hast Du für eine rote Schnur um den Hals? Hast Dir das rote Halsband verdient, wie die Ohrringlein, mit Deiner Sünde! Was hängen Dir die schwarzen Haare so wild? Mörder! Mörder! Sie werden nach mir suchen ... Das Messer verrät mich!
1179	3	255	1	Da, da ist's
1181	3	256	1	So! Da hinunter
1183	3	259	1	Es taucht ins dunkle Wasser wie ein Stein.
1185	3	261	1	Aber der Mond verrät mich ... der Mond ist blutig. Will denn die ganze Welt es ausplaudern?! - Das Messer, es liegt zu weit vorn, sie finden's beim Baden oder wenn sie nach Muscheln tauchen.
1187	3	274	1	Ich find's nicht ... Aber ich muss mich waschen. Ich bin blutig. Da ein Fleck. . . und noch einer. Weh! Weh! ich wasche mich mit Blut! Das Wasser ist Blut ... Blut ...
1193	3	288	1	Halt!
1197	3	289	1	Hören Sie? Dort!
1200	3	290	1	Jesus! Das war ein Ton.
1205	3	291	1	Ja, dort!.
1208	3	292	1	Es ist das Wasser im Teich. Das Wasser ruft. Es ist schon lange Niemand ertrunken. Kommen Sie, Doktor! Es ist nicht gut zu hören.
1213	3	303	1	Das stöhnt als stürbe ein Mensch. Da ertrinkt jemand!
1216	3	306	1	Unheimlich! Der Mond rot und die Nebel grau. Hören Sie? jetzt wieder das Ächzen.
1219	3	313	1	Stiller.... jetzt ganz still.
1222	3	316	1	Kommen Sie! Kommen Sie schnell.
1232	3	372	1	Ringel, Ringel, Rosenkranz, Ringelreih'n!
1233	3	374	1	Ringel, Ringel, Rosenkranz, Rin ...
1238	3	375	1	Du Käthe! . . . Die Marie ...
1241	3	376	1	Was is?
1244	3	376	1	Weisst' es nit? Sie sind schon Alle 'naus.
1248	3	378	1	Du! Dein Mutter ist tot!
1252	3	379	1	Hopp, hopp! Hopp, hopp! Hopp, hopp!
1255	3	381	1	Wo is sie denn?
1258	3	382	1	Drauss' liegt sie, am Weg, neben dem Teich.
1261	3	384	1	Kommt, anschaun!
1267	3	385	1	Hopp, hopp! Hopp, hopp! Hopp, hopp!
