start	end	text
5517560	5518560	Ich hab mich geschnitten.
5518560	5520560	Ich hab mich geschnitten.
5520560	5523700	Ich hab mich geschnitten.
5523700	5527740	Ich hab mich geschnitten.
5527740	5530220	Ich hab mich geschnitten.
5530220	5533220	Ich hab mich geschnitten.
5533220	5536260	Ich hab mich geschnitten.
5536280	5538840	Ich hab mich geschnitten.
5538840	5565420	Marie, Marie, was hast du für eine rote Schnur um den Hals?
5565420	5574520	Was dir das schöne Halsband verdient, wie die Ohrringlein mit deiner Söhne?
5576400	5581020	Was hängen dir die schwarzen Haare so wild?
5581620	5584380	Warum, warum?
5585860	5590960	Sie werden nach mir suchen, das Messer verrennt mich.
5590960	5610960	Da, da ist's, so dahinunter, es taucht ins dunkle Wasser wie ein Stein.
5610960	5634960	Aber der Mund verrät mich, der Mund ist blutig.
5634960	5640460	Ich will denn die ganze Welt es ausblodern.
5642560	5645860	Das Messer, es liegt zu weit vorn.
5646600	5651260	Sie finden's beim Baden oder wenn sie nach Wurzeln tauchen.
5651260	5655480	Ich find's nicht.
5658860	5661080	Aber ich muss mich waschen.
5661960	5663380	Ich bin blutig.
5664220	5667040	Kein Peck und noch einer.
5669040	5669580	Wie?
5673580	5674260	Wie?
5674260	5679660	Ich wasche mit dem Blut.
5680500	5683500	Das Wasser ist Blut.
5684700	5685540	Blut.
5685540	5698980	Halt!
5700260	5701060	Hören Sie.
5701460	5701760	Dort.
5703360	5706020	Jesus, das war ein Ton.
5707780	5708500	Ja, dort.
5708500	5711980	Es ist das Wasser im Teich.
5712720	5713660	Das Wasser ruft.
5714280	5716260	Es ist schon lange niemand ertrunken.
5722580	5723720	Kommen Sie, Doktor.
5724420	5725960	Es ist nicht gut zu hören.
5725960	5751280	Das stöhnt, als stürbe ein Mensch.
5751280	5755880	Da ertrinkt jemand.
5760260	5761060	Unheimlich.
5761960	5765320	Der Mond rot und die Nebel grau.
5771380	5772380	Hören Sie.
5774320	5776140	Jetzt wietet das echt.
5776140	5776300	Jetzt.
5781280	5782760	Stiller.
5785440	5785920	Jetzt.
5787000	5788220	Ganz still.
5794180	5795180	Kommen Sie.
5795900	5796720	Kommen Sie schnell.
5811280	5814840	Klang.
5819200	5828220	Kommen Sie.
5828220	5829720	Kommen Sie.
5829720	5832180	Kommen Sie.
5832180	5834400	Kommen Sie.
5836180	5836780	Kommen Sie.
5836780	5866760	Untertitelung des ZDF, 2020
5866780	5896760	Untertitelung des ZDF, 2020
5896780	5926760	Untertitelung des ZDF, 2020
5926780	5956760	Untertitelung des ZDF, 2020
5956760	5986740	Untertitelung des ZDF, 2020
5986740	6016720	Untertitelung des ZDF, 2020
6016740	6046720	Untertitelung des ZDF, 2020
6046720	6076700	Untertitelung des ZDF, 2020
6076700	6106680	Untertitelung des ZDF, 2020
6106680	6136660	Untertitelung des ZDF, 2020
6136660	6166640	Untertitelung des ZDF, 2020
6166660	6196640	Untertitelung des ZDF, 2020
6196660	6226640	Untertitelung des ZDF, 2020
6226660	6256640	Untertitelung des ZDF, 2020
